microregiao,mesorregiao,codigo,equip_vida,ventilador_mecanico,date,confirmed,deaths,is_last,confirmed_per_100k_inhabitants,death_rate,place_type
São Francisco De Paula,Nordeste,4318200,18,1,NA,NA,NA,NA,NA,NA,NA
Nova Hartz,Metropolitana,4313060,6,NA,NA,NA,NA,NA,NA,NA,NA
São Marcos,Nordeste,4319000,34,5,NA,NA,NA,NA,NA,NA,NA
Nova Petrópolis,Metropolitana,4313201,36,3,NA,NA,NA,NA,NA,NA,NA
Rolante,Metropolitana,4316006,31,2,2020-04-12,1,0,TRUE,4.68406,NA,city
Butiá,Metropolitana,4302709,26,2,NA,NA,NA,NA,NA,NA,NA
Arroio Do Meio,Centro Oriental,4301008,66,4,NA,NA,NA,NA,NA,NA,NA
Piratini,Sudeste,4314605,21,2,2020-04-12,1,0,TRUE,4.83957,NA,city
Ibirubá,Noroeste,4310009,33,2,NA,NA,NA,NA,NA,NA,NA
Horizontina,Noroeste,4309605,18,2,NA,NA,NA,NA,NA,NA,NA
Júlio De Castilhos,Centro Ocidental,4311205,21,1,NA,NA,NA,NA,NA,NA,NA
São Francisco De Assis,Sudoeste,4318101,28,1,NA,NA,NA,NA,NA,NA,NA
Arroio Grande,Sudeste,4301305,18,2,NA,NA,NA,NA,NA,NA,NA
Não-Me-Toque,Noroeste,4312658,44,2,NA,NA,NA,NA,NA,NA,NA
Serafina Corrêa,Nordeste,4320404,47,2,2020-04-12,5,0,TRUE,28.56816,NA,city
Tapes,Metropolitana,4321105,15,1,NA,NA,NA,NA,NA,NA,NA
Agudo,Centro Ocidental,4300109,38,5,NA,NA,NA,NA,NA,NA,NA
Xangri-Lá,Metropolitana,4323804,16,NA,NA,NA,NA,NA,NA,NA,NA
Sananduva,Noroeste,4316600,17,1,2020-04-12,2,0,TRUE,12.29256,NA,city
Cidreira,Metropolitana,4305454,12,1,2020-04-12,2,0,TRUE,12.30466,NA,city
Getúlio Vargas,Noroeste,4308904,50,7,NA,NA,NA,NA,NA,NA,NA
São Pedro Do Sul,Centro Ocidental,4319406,31,6,NA,NA,NA,NA,NA,NA,NA
Giruá,Noroeste,4309001,22,2,NA,NA,NA,NA,NA,NA,NA
Restinga Seca,Centro Ocidental,4315503,27,2,NA,NA,NA,NA,NA,NA,NA
Espumoso,Noroeste,4307500,48,3,NA,NA,NA,NA,NA,NA,NA
Dom Feliciano,Metropolitana,4306502,22,3,NA,NA,NA,NA,NA,NA,NA
Sobradinho,Centro Oriental,4320701,50,2,NA,NA,NA,NA,NA,NA,NA
Santo Cristo,Noroeste,4317905,48,4,NA,NA,NA,NA,NA,NA,NA
Arroio Dos Ratos,Metropolitana,4301107,2,NA,2020-04-12,3,0,TRUE,21.19992,NA,city
Cerro Largo,Noroeste,4305207,22,2,NA,NA,NA,NA,NA,NA,NA
Balneário Pinhal,Metropolitana,4301636,23,3,NA,NA,NA,NA,NA,NA,NA
Bom Princípio,Metropolitana,4302352,31,2,NA,NA,NA,NA,NA,NA,NA
Santo Augusto,Noroeste,4317806,40,4,NA,NA,NA,NA,NA,NA,NA
Feliz,Metropolitana,4308102,21,2,NA,NA,NA,NA,NA,NA,NA
Barra Do Ribeiro,Metropolitana,4301909,7,NA,NA,NA,NA,NA,NA,NA,NA
Tenente Portela,Noroeste,4321402,179,15,NA,NA,NA,NA,NA,NA,NA
Crissiumal,Noroeste,4306007,44,1,NA,NA,NA,NA,NA,NA,NA
Arroio Do Tigre,Centro Oriental,4301206,29,2,NA,NA,NA,NA,NA,NA,NA
Antônio Prado,Nordeste,4300802,33,2,NA,NA,NA,NA,NA,NA,NA
Mostardas,Metropolitana,4312500,15,1,NA,NA,NA,NA,NA,NA,NA
Cacequi,Centro Ocidental,4302907,11,NA,NA,NA,NA,NA,NA,NA,NA
Salto Do Jacuí,Noroeste,4316451,12,NA,NA,NA,NA,NA,NA,NA,NA
Cruzeiro Do Sul,Centro Oriental,4306205,11,NA,2020-04-12,1,0,TRUE,8.09848,NA,city
Bom Retiro Do Sul,Centro Oriental,4302402,34,NA,2020-04-12,1,0,TRUE,8.11162,NA,city
Pinheiro Machado,Sudeste,4314506,12,1,NA,NA,NA,NA,NA,NA,NA
Cerro Grande Do Sul,Metropolitana,4305173,2,NA,2020-04-12,1,0,TRUE,8.1706,NA,city
Capela De Santana,Metropolitana,4304689,1,NA,NA,NA,NA,NA,NA,NA,NA
Vale Do Sol,Centro Oriental,4322533,11,2,NA,NA,NA,NA,NA,NA,NA
Nonoai,Noroeste,4312708,45,2,NA,NA,NA,NA,NA,NA,NA
Redentora,Noroeste,4315404,1,NA,NA,NA,NA,NA,NA,NA,NA
Roca Sales,Centro Oriental,4315800,16,1,NA,NA,NA,NA,NA,NA,NA
Bom Jesus,Nordeste,4302303,26,NA,NA,NA,NA,NA,NA,NA,NA
Palmares Do Sul,Metropolitana,4313656,9,NA,NA,NA,NA,NA,NA,NA,NA
Terra De Areia,Metropolitana,4321436,23,1,NA,NA,NA,NA,NA,NA,NA
Barros Cassal,Noroeste,4302006,10,NA,NA,NA,NA,NA,NA,NA,NA
Três Cachoeiras,Metropolitana,4321667,4,NA,NA,NA,NA,NA,NA,NA,NA
Jaguari,Centro Ocidental,4311106,17,2,NA,NA,NA,NA,NA,NA,NA
Seberi,Noroeste,4320206,39,2,NA,NA,NA,NA,NA,NA,NA
Ronda Alta,Noroeste,4316105,35,3,NA,NA,NA,NA,NA,NA,NA
Tapera,Noroeste,4321006,15,1,NA,NA,NA,NA,NA,NA,NA
Arvorezinha,Nordeste,4301404,31,2,NA,NA,NA,NA,NA,NA,NA
Fontoura Xavier,Noroeste,4308300,9,2,NA,NA,NA,NA,NA,NA,NA
Porto Xavier,Noroeste,4315107,13,1,NA,NA,NA,NA,NA,NA,NA
Santo Antônio Das Missões,Noroeste,4317707,6,NA,NA,NA,NA,NA,NA,NA,NA
Sinimbu,Centro Oriental,4320677,8,NA,NA,NA,NA,NA,NA,NA,NA
Planalto,Noroeste,4314704,20,3,NA,NA,NA,NA,NA,NA,NA
Arroio Do Sal,Metropolitana,4301057,5,NA,2020-04-12,1,0,TRUE,9.93542,NA,city
Nova Bassano,Nordeste,4312906,12,1,NA,NA,NA,NA,NA,NA,NA
Constantina,Noroeste,4305801,18,2,NA,NA,NA,NA,NA,NA,NA
Candiota,Sudeste,4304358,9,2,NA,NA,NA,NA,NA,NA,NA
Chapada,Noroeste,4305306,17,1,NA,NA,NA,NA,NA,NA,NA
Pantano Grande,Centro Oriental,4313953,9,NA,NA,NA,NA,NA,NA,NA,NA
Casca,Noroeste,4304903,19,2,NA,NA,NA,NA,NA,NA,NA
Catuípe,Noroeste,4305009,1,NA,NA,NA,NA,NA,NA,NA,NA
São Vicente Do Sul,Centro Ocidental,4319802,18,1,NA,NA,NA,NA,NA,NA,NA
Jóia,Noroeste,4311155,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paverama,Centro Oriental,4314159,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entre-Ijuís,Noroeste,4306932,NA,NA,NA,NA,NA,NA,NA,NA,NA
General Câmara,Metropolitana,4308805,2,NA,NA,NA,NA,NA,NA,NA,NA
Caraá,Metropolitana,4304713,3,NA,NA,NA,NA,NA,NA,NA,NA
Glorinha,Metropolitana,4309050,3,1,2020-04-12,1,0,TRUE,12.34873,NA,city
Santana Da Boa Vista,Sudeste,4317004,11,1,NA,NA,NA,NA,NA,NA,NA
Minas Do Leão,Metropolitana,4312252,4,NA,2020-04-12,2,0,TRUE,24.7678,NA,city
Cristal,Sudeste,4306056,6,1,NA,NA,NA,NA,NA,NA,NA
Santa Bárbara Do Sul,Noroeste,4316709,7,NA,NA,NA,NA,NA,NA,NA,NA
Tuparendi,Noroeste,4322301,17,4,NA,NA,NA,NA,NA,NA,NA
Salvador Do Sul,Metropolitana,4316501,15,1,NA,NA,NA,NA,NA,NA,NA
Pedro Osório,Sudeste,4314209,10,1,NA,NA,NA,NA,NA,NA,NA
Boqueirão Do Leão,Centro Oriental,4302451,9,NA,NA,NA,NA,NA,NA,NA,NA
São Miguel Das Missões,Noroeste,4319158,13,2,NA,NA,NA,NA,NA,NA,NA
Paraí,Nordeste,4314001,47,2,2020-04-12,2,0,TRUE,26.11989,NA,city
Paraíso Do Sul,Centro Oriental,4314027,7,NA,NA,NA,NA,NA,NA,NA,NA
Guarani Das Missões,Noroeste,4309506,32,2,NA,NA,NA,NA,NA,NA,NA
Barão Do Triunfo,Metropolitana,4301750,1,NA,NA,NA,NA,NA,NA,NA,NA
