"Country" "CCode" "SL.AGR.EMPL.MA.ZS" "SP.RUR.TOTL.ZS" "SH.TBS.INCD" "SM.POP.NETM" "SP.URB.TOTL.IN.ZS" "EN.ATM.CO2E.PC" "EG.ELC.ACCS.ZS" "EN.URB.MCTY.TL.ZS" "SP.POP.TOTL" "SI.POV.DDAY" "NY.GDP.MKTP.KD.ZG" "NE.IMP.GNFS.ZS" "FP.CPI.TOTL.ZG" "SE.XPD.TOTL.GD.ZS" "SL.UEM.TOTL.ZS" "SE.ADT.LITR.ZS" "EG.USE.COMM.FO.ZS" "EN.POP.SLUM.UR.ZS" "EN.ATM.PM25.MC.ZS" "BX.KLT.DINV.CD.WD" "BN.CAB.XOKA.CD" "FI.RES.TOTL.CD" "SP.DYN.LE00.FE.IN" "SP.DYN.LE00.MA.IN" "SG.TIM.UWRK.FE" "SH.SGR.CRSK.ZS" "SH.SGR.PROC.P5" "SP.POP.65UP.TO.ZS" "SH.MED.BEDS.ZS" "SH.STA.DIAB.ZS" "SH.DTH.NCOM.ZS" "SP.DYN.IMRT.IN" "IS.AIR.DPRT" "IE.PPI.TRAN.CD" "SI.POV.GINI" "SI.DST.10TH.10" "SI.DST.FRST.10" "SI.POV.URHC" "SI.POV.RUHC" "ST.INT.XPND.MP.ZS" "ST.INT.RCPT.XP.ZS" "GC.XPN.TOTL.GD.ZS" "SP.DYN.LE00.FE.IN" "GB.XPD.RSDV.GD.ZS" "SP.POP.SCIE.RD.P6" "SL.GDP.PCAP.EM.KD" "LP.LPI.OVRL.XQ" "EN.URB.LCTY.UR.ZS" "EN.POP.DNST" "SH.STA.TRAF.P5"
"21" "Bahrain" "BHR" 1.26699995994568 10.713 11 239000 89.287 23.455406320753 100 NA 1569439 NA 1.77672835806486 71.6572121891948 NA NA 0.967999994754791 97.46419 NA NA 100 111170212.765957 -2434574468.08511 2334278370.00967 78.143 76.188 NA NA NA 2.42633387832394 NA 15.6 83 6.1 57094 NA NA NA NA NA NA 14.7975308883519 12.7386670908223 NA 78.143 NA NA 70352.3828125 2.93 40.2932266708532 2017.27369979138 NA
"22" "Bahamas" "BHS" 4.41599988937378 16.975 14 4999 83.025 6.52006971856257 100 NA 385640 NA 1.56575993568239 41.2700712302306 NA NA 11.5019998550415 NA NA NA 99.9999999918088 491404689.229667 -1505207344.95486 NA 75.718 71.3 NA NA NA 7.25760235662035 NA 8.8 73.9 8.3 56629.4566997085 NA NA NA NA NA NA 10.4405650141285 77.246799590927 17.9367459455109 75.718 NA NA 54089.23828125 2.53 NA 38.5254745254745 NA
"23" "Bosnia and Herzegovina" "BIH" 16.2609996795654 51.755 25 -107926 48.245 6.38493881859933 100 NA 3323929 NA 3.62354616011993 55.7808947028023 0.562782154061303 NA 21.2180004119873 NA NA NA 99.9552350286901 488903026.034015 -750578394.081284 6808433501.27296 79.581 74.622 NA 3.2 NA 16.4703174710621 NA 9 94.5 5 NA NA NA NA NA NA NA 3.17729110607052 12.7259930289803 35.1318033511872 79.581 0.1988 471.2501 39423.4453125 2.81 21.3625961100753 64.92048828125 15.7
"24" "Belarus" "BLR" 13.9040002822876 21.405 31 43648 78.595 6.70195770525782 100 21.1343217872209 9485386 0 3.04990554989585 69.1440943074798 5.59815595039854 NA 5.79500007629395 99.75656 NA NA 99.9313519680704 1426500000 -34399999.9999999 7157559690.48716 79.2 69.3 NA 11.5 8741 14.8451481743098 NA 5 90.5 2.6 31676 3960000 25.2 21.4 4.3 NA NA 2.8044416160746 2.89012552281448 NA 79.2 0.60817 NA 37015.5078125 2.57 26.89016113799 46.7287999040892 8.9
"25" "Belize" "BLZ" 24.867000579834 54.276 30 6000 45.724 1.40094123373499 98.2651214599609 NA 383071 NA 3.03540365708952 58.0078191642862 NA NA 9.49699974060059 NA NA 10.8 100 119541646.954707 -154939838.804943 294468435.057294 77.453 71.533 NA NA 1964 4.73645877657144 NA 17.1 67.4 11.2 125681.690865347 37600000 NA NA NA NA NA 4.43403657873265 45.2063565065369 NA 77.453 NA NA 18508.841796875 NA NA 16.7939938623411 28.3
"26" "Bermuda" "BMU" NA 0 3.7 NA 100 8.83831498794885 100 NA 63968 NA NA NA NA NA NA NA NA NA 100 95689121.5 958378558.076396 NA 85.35 77.72 NA NA NA NA NA 6.7 NA NA NA NA NA NA NA NA NA 16.0281381701015 36.9476958882668 NA 85.35 NA NA NA NA NA 1184.59257167194 NA
"27" "Bolivia" "BOL" 27.8390007019043 30.575 108 -47520 69.425 1.90636431997446 91.8 41.3356144052457 11353142 4.5 4.22362493214148 31.1211697950131 1.83954504969032 NA 3.26600003242493 NA NA 43.5 99.9991320215104 255082885.984613 -1989598183.43618 8929614182.53614 73.878 68.173 NA 24.3 NA 7.19194739218447 NA 6.8 64.5 21.8 56592 16600000 42.2 30.4 1.5 NA NA 8.57247022443529 9.3767084989034 NA 73.878 NA NA 15840.8193359375 2.36 23.0158036386824 10.4801458506416 15.5
"28" "Brazil" "BRA" 13.039999961853 13.431 45 106000 86.569 2.61293352087838 100 41.9461931451321 209469333 4.4 1.11758734985511 14.2767004326273 3.73297621216894 NA 12.2180004119873 93.2275 NA 22.3 68.1350300575805 78162572752.95 -41539692295.48 374709673447.828 79.156 71.804 NA 12.9 13940 8.92283783244003 NA 10.4 73.9 12.8 832683 1041400000 53.9 42.5 1 NA NA 8.62714428399348 2.29983252453008 NA 79.156 NA NA 33194.62890625 2.99 11.939294933562 25.0617162430876 19.7
"29" "Barbados" "BRB" 3.75 68.853 0.4 -397 31.147 4.46747652067059 100 NA 286641 NA -0.49842886553256 40.8905996112731 NA NA 9.58800029754639 NA NA NA 100 195096000 NA NA 80.307 77.562 NA NA NA 15.8026939621338 NA 13.4 82.8 11.3 NA NA NA NA NA NA NA NA NA NA 80.307 NA NA 36284.703125 NA NA 666.606976744186 5.6
"30" "Brunei"BRN" 2 22.371 68 0 77.629 22.229177902672 100 NA 428962 NA 0.0522377907767719 41.964043494891 NA NA 9.24499988555908 97.21411 NA NA 0 511497137.753507 1067951167.66808 3407126454.77295 76.819 74.454 NA NA NA 4.87314756750582 2.7 13.3 84.8 9.8 11310 NA NA NA NA NA NA 10.2962198251364 2.69850388505865 NA 76.819 NA NA 170535.765625 2.71 NA 81.3969639468691 NA
