"Country" "Lat" "Long" "X4.6.20" "X4.7.20" "X4.8.20" "SL.AGR.EMPL.MA.ZS" "SP.RUR.TOTL.ZS" "SH.TBS.INCD" "SM.POP.NETM" "SP.URB.TOTL.IN.ZS" "EN.ATM.CO2E.PC" "EG.ELC.ACCS.ZS" "EN.URB.MCTY.TL.ZS" "SP.POP.TOTL" "SI.POV.DDAY" "NY.GDP.MKTP.KD.ZG" "NE.IMP.GNFS.ZS" "FP.CPI.TOTL.ZG" "SE.XPD.TOTL.GD.ZS" "SL.UEM.TOTL.ZS" "SE.ADT.LITR.ZS" "EG.USE.COMM.FO.ZS" "EN.POP.SLUM.UR.ZS" "EN.ATM.PM25.MC.ZS" "BX.KLT.DINV.CD.WD" "BN.CAB.XOKA.CD" "FI.RES.TOTL.CD" "SP.DYN.LE00.FE.IN" "SP.DYN.LE00.MA.IN" "SG.TIM.UWRK.FE" "SH.SGR.CRSK.ZS" "SH.SGR.PROC.P5" "SP.POP.65UP.TO.ZS" "SH.MED.BEDS.ZS" "SH.STA.DIAB.ZS" "SH.DTH.NCOM.ZS" "SP.DYN.IMRT.IN" "IS.AIR.DPRT" "IE.PPI.TRAN.CD" "SI.POV.GINI" "SI.DST.10TH.10" "SI.DST.FRST.10" "SI.POV.URHC" "SI.POV.RUHC" "ST.INT.XPND.MP.ZS" "ST.INT.RCPT.XP.ZS" "GC.XPN.TOTL.GD.ZS" "SP.DYN.LE00.FE.IN.1" "GB.XPD.RSDV.GD.ZS" "SP.POP.SCIE.RD.P6" "SL.GDP.PCAP.EM.KD" "LP.LPI.OVRL.XQ" "EN.URB.LCTY.UR.ZS" "EN.POP.DNST" "SH.STA.TRAF.P5"
"31" "Cambodia" 11.55 104.9167 114 115 117 30.1480007171631 76.612 302 -149999 23.388 0.437653585193574 89.07 12.0144816569412 16249798 NA 7.49796350754166 63.3028853207448 NA 2.16286 1.01999998092651 NA NA 55.1 100 3212633447.0447 -2992417483.19844 13885663251.0401 71.318 67.062 NA NA NA 4.56868001756576 0.8 6.4 64.4 24 14387 1e+09 NA NA NA NA NA 4.93803121314257 26.2409950521192 14.9597998639214 71.318 NA NA 7333.8232421875 2.58 51.370279144629 92.0564128710628 17.8
"32" "Cameroon" 3.848 11.5021 658 658 730 41.1949996948242 43.626 186 -24000 56.374 0.308791722441786 61.4018745422363 28.0286031575607 25216237 NA 4.06240531944661 23.6975689193905 NA 3.14529 3.33999991416931 77.07104 NA 37.8 100 765138128.210638 -1409485089.99484 3459329760.96426 59.795 57.235 NA 62.7 NA 2.72887735524057 NA 6 35.2 50.6 5550 9e+07 NA NA NA NA NA 10.8635393414282 8.66996592573408 NA 59.795 NA NA 8176.7578125 2.6 25.7161651648096 53.3439889149796 30.1
"33" "Canada" 671.7607 -1237.6289 16563 17872 19141 1.98599994182587 18.589 5.6 1210159 81.411 15.1589272191963 100 45.9325268972145 37058856 NA 1.89697475634192 34.0930504449183 1.94926902411596 NA 6.05700016021729 NA 74.089062024806 NA 0 46542783393.9787 -45322715617.2744 83925602808.0082 84.308 80.288 NA 0.4 NA 17.2320066788651 NA 7.6 88.3 4.3 1475062.58618088 NA NA NA NA NA NA 5.77826805574899 4.03415384669407 17.3245483953618 84.308 1.55277 NA 87936.3984375 3.73 20.1605171497434 4.07530821431988 5.8
"34" "Central African Republic" 6.6111 20.9394 8 8 8 70.6709976196289 58.636 540 -2e+05 41.364 0.0673571264567361 29.9820384979248 NA 4666377 NA 3.78944359275462 46.9800224539673 NA NA 6.52199983596802 37.39582 NA 93.3 100 17994743.8433 NA 361797180.317651 54.354 50.152 NA NA NA 2.82577370666008 NA 6 26 84.5 NA NA NA NA NA NA NA NA NA NA 54.354 NA NA 1819.29504394531 2.15 44.0858978344213 7.49041221227006 33.6
"35" "Chad" 15.4542 18.7322 9 10 10 79.5650024414063 76.941 142 10000 23.059 0.0534072418467253 10.8764162063599 8.54567953703351 15477751 NA 2.6413300339928 37.8810921062285 NA 2.24185 2.31900000572205 NA NA 88.2 100 662206573.4331 NA 147750165.909777 55.132 52.315 NA 68.3 NA 2.48051894434901 NA 6 27.3 71.4 NA NA NA NA NA NA NA NA NA NA 55.132 NA NA 4950.89892578125 2.42 37.0600571866467 12.2917336404066 27.6
"36" "Chile" -35.6751 -71.543 4815 5116 5546 11.7700004577637 12.436 18 558539 87.564 4.64906220009855 100 35.6682894481119 18729160 NA 4.02465296525456 28.7191327028464 2.55754475703323 NA 7.43200016021729 NA 74.6472122625678 NA 97.6630177077565 6082221197.63492 -9157260644.9725 39858824174.8114 82.333 77.333 NA 9.4 NA 11.5298016568816 NA 8.6 84.7 6.2 134661 NA NA NA NA NA NA 3.62835496442146 4.63342178600577 22.4034732087337 82.333 NA NA 51702.81640625 3.32 40.7339645446385 25.1894460666519 12.5
"37" "China" 1083.3367 3684.4197 82665 82718 82809 28.5289993286133 40.848 61 -1741996 59.152 7.54390764144927 100 27.8875617671767 1392730000 NA 6.56697385961871 18.7313138032856 2.89923579925941 NA 4.42399978637695 96.84089 NA 25.2 99.9982944622564 203492014029.265 49091588369.0827 3168216331199.09 78.828 74.315 NA 26.5 NA 10.9208835350654 NA 9.2 89.3 7.4 4692008 25964800000 NA NA NA NA NA 10.8844351156334 1.52341960462756 NA 78.828 NA NA 31379.9921875 3.61 3.10527790612515 148.348833270666 18.2
"38" "Colombia" 4.5709 -74.2973 1579 1780 2054 22.4150009155273 19.222 33 1023981 80.778 1.79035682717161 99.5952377319336 43.8968000864474 49648685 4.1 2.56922098807335 20.8253458573742 3.52549273618952 4.50259 9.1879997253418 95.09251 NA 13.1 92.1046289822956 11535119873.131 -13037301747.0417 47887623364.3511 79.694 74.124 NA 10.4 27385 8.47804701986958 NA 7.4 74.8 12.2 358847 2027740000 50.4 39.7 1.4 NA NA 8.93981287881651 12.2508998097043 NA 79.694 0.23699 NA 28080.451171875 2.94 26.3666682749363 44.7487021180712 18.5
"39" "Congo (Brazzaville)" -4.0383 21.7587 45 45 45 35.2550010681152 33.084 375 -20000 66.916 0.653359718672722 66.2148513793945 64.2080267899076 5244363 NA 1.02555420747001 56.0218574027979 NA 3.63639 10.3870000839233 80.29876 NA 46.9 100 4313143665.0143 NA 423617388.256644 65.316 62.546 NA 60 NA 2.68171953903232 NA 6 34.6 36.2 8439 5.6e+07 NA NA NA NA NA NA NA NA 65.316 NA NA 13040.802734375 2.49 63.5363623359297 15.3568462664715 27.4
"40" "Congo (Kinshasa)" -4.0383 21.7587 161 180 180 60.7270011901855 55.54 321 119303 44.46 0.0633308890302249 19.0936317443848 24.0990056500748 84068091 NA 5.75793273827452 37.3422312884634 NA NA 4.27199983596802 NA NA 74.8 100 1284643393.84758 -2169064858.49838 665272094.992908 61.539 58.528 NA 76.1 NA 3.01784062159803 NA 6 28 68.2 18612.1962447002 NA NA NA NA NA NA 0.646996731516002 0.376205306165348 NA 61.539 NA NA 2495.19604492188 2.43 35.2392413310837 37.0825923557045 33.7
