"Country" "CCode" "INome" "Indicador" "Ano"
"140" "Lesotho" "LSO" "Mortality caused by road traffic injury (per 100,000 people)" 28.9 "X2016"
"141" "Late-demographic dividend" "LTE" "Mortality caused by road traffic injury (per 100,000 people)" 18.6999418530408 "X2016"
"142" "Lithuania" "LTU" "Mortality caused by road traffic injury (per 100,000 people)" 8 "X2016"
"143" "Luxembourg" "LUX" "Mortality caused by road traffic injury (per 100,000 people)" 6.3 "X2016"
"144" "Latvia" "LVA" "Mortality caused by road traffic injury (per 100,000 people)" 9.3 "X2016"
"145" "Macao SAR, China" "MAC" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"146" "St. Martin (French part)" "MAF" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"147" "Morocco" "MAR" "Mortality caused by road traffic injury (per 100,000 people)" 19.6 "X2016"
"148" "Monaco" "MCO" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"149" "Moldova" "MDA" "Mortality caused by road traffic injury (per 100,000 people)" 9.7 "X2016"
"150" "Madagascar" "MDG" "Mortality caused by road traffic injury (per 100,000 people)" 28.6 "X2016"
"151" "Maldives" "MDV" "Mortality caused by road traffic injury (per 100,000 people)" 0.9 "X2016"
"152" "Middle East & North Africa" "MEA" "Mortality caused by road traffic injury (per 100,000 people)" 18.2278412119395 "X2016"
"153" "Mexico" "MEX" "Mortality caused by road traffic injury (per 100,000 people)" 13.1 "X2016"
"154" "Marshall Islands" "MHL" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"155" "Middle income" "MIC" "Mortality caused by road traffic injury (per 100,000 people)" 19.1782644011242 "X2016"
"156" "North Macedonia" "MKD" "Mortality caused by road traffic injury (per 100,000 people)" 6.4 "X2016"
"157" "Mali" "MLI" "Mortality caused by road traffic injury (per 100,000 people)" 23.1 "X2016"
"158" "Malta" "MLT" "Mortality caused by road traffic injury (per 100,000 people)" 6.1 "X2016"
"159" "Myanmar" "MMR" "Mortality caused by road traffic injury (per 100,000 people)" 19.9 "X2016"
"160" "Middle East & North Africa (excluding high income)" "MNA" "Mortality caused by road traffic injury (per 100,000 people)" 17.6200456463381 "X2016"
"161" "Montenegro" "MNE" "Mortality caused by road traffic injury (per 100,000 people)" 10.7 "X2016"
"162" "Mongolia" "MNG" "Mortality caused by road traffic injury (per 100,000 people)" 16.5 "X2016"
"163" "Northern Mariana Islands" "MNP" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"164" "Mozambique" "MOZ" "Mortality caused by road traffic injury (per 100,000 people)" 30.1 "X2016"
"165" "Mauritania" "MRT" "Mortality caused by road traffic injury (per 100,000 people)" 24.7 "X2016"
"166" "Mauritius" "MUS" "Mortality caused by road traffic injury (per 100,000 people)" 13.7 "X2016"
"167" "Malawi" "MWI" "Mortality caused by road traffic injury (per 100,000 people)" 31 "X2016"
"168" "Malaysia" "MYS" "Mortality caused by road traffic injury (per 100,000 people)" 23.6 "X2016"
"169" "North America" "NAC" "Mortality caused by road traffic injury (per 100,000 people)" 11.7364829218098 "X2016"
"170" "Namibia" "NAM" "Mortality caused by road traffic injury (per 100,000 people)" 30.4 "X2016"
"171" "New Caledonia" "NCL" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"172" "Niger" "NER" "Mortality caused by road traffic injury (per 100,000 people)" 26.2 "X2016"
"173" "Nigeria" "NGA" "Mortality caused by road traffic injury (per 100,000 people)" 21.4 "X2016"
"174" "Nicaragua" "NIC" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"175" "Netherlands" "NLD" "Mortality caused by road traffic injury (per 100,000 people)" 3.8 "X2016"
"176" "Norway" "NOR" "Mortality caused by road traffic injury (per 100,000 people)" 2.7 "X2016"
"177" "Nepal" "NPL" "Mortality caused by road traffic injury (per 100,000 people)" 15.9 "X2016"
"178" "Nauru" "NRU" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"179" "New Zealand" "NZL" "Mortality caused by road traffic injury (per 100,000 people)" 7.8 "X2016"
"180" "OECD members" "OED" "Mortality caused by road traffic injury (per 100,000 people)" 8.38260857240136 "X2016"
"181" "Oman" "OMN" "Mortality caused by road traffic injury (per 100,000 people)" 16.1 "X2016"
"182" "Other small states" "OSS" "Mortality caused by road traffic injury (per 100,000 people)" 20.4194499804544 "X2016"
"183" "Pakistan" "PAK" "Mortality caused by road traffic injury (per 100,000 people)" 14.3 "X2016"
"184" "Panama" "PAN" "Mortality caused by road traffic injury (per 100,000 people)" 14.3 "X2016"
"185" "Peru" "PER" "Mortality caused by road traffic injury (per 100,000 people)" 13.5 "X2016"
"186" "Philippines" "PHL" "Mortality caused by road traffic injury (per 100,000 people)" 12.3 "X2016"
"187" "Palau" "PLW" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"188" "Papua New Guinea" "PNG" "Mortality caused by road traffic injury (per 100,000 people)" 14.2 "X2016"
"189" "Poland" "POL" "Mortality caused by road traffic injury (per 100,000 people)" 9.7 "X2016"
"190" "Pre-demographic dividend" "PRE" "Mortality caused by road traffic injury (per 100,000 people)" 26.1031675070371 "X2016"
"191" "Puerto Rico" "PRI" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"192" "Korea, Dem. People’s Rep." "PRK" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"193" "Portugal" "PRT" "Mortality caused by road traffic injury (per 100,000 people)" 7.4 "X2016"
"194" "Paraguay" "PRY" "Mortality caused by road traffic injury (per 100,000 people)" 22.7 "X2016"
"195" "West Bank and Gaza" "PSE" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"196" "Pacific island small states" "PSS" "Mortality caused by road traffic injury (per 100,000 people)" 12.3135574875698 "X2016"
"197" "Post-demographic dividend" "PST" "Mortality caused by road traffic injury (per 100,000 people)" 7.74253594212076 "X2016"
"198" "French Polynesia" "PYF" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"199" "Qatar" "QAT" "Mortality caused by road traffic injury (per 100,000 people)" 9.3 "X2016"
"200" "Romania" "ROU" "Mortality caused by road traffic injury (per 100,000 people)" 10.3 "X2016"
"201" "Russian Federation" "RUS" "Mortality caused by road traffic injury (per 100,000 people)" 18 "X2016"
"202" "Rwanda" "RWA" "Mortality caused by road traffic injury (per 100,000 people)" 29.7 "X2016"
"203" "South Asia" "SAS" "Mortality caused by road traffic injury (per 100,000 people)" 20.6415574218229 "X2016"
"204" "Saudi Arabia" "SAU" "Mortality caused by road traffic injury (per 100,000 people)" 28.8 "X2016"
"205" "Sudan" "SDN" "Mortality caused by road traffic injury (per 100,000 people)" 25.7 "X2016"
"206" "Senegal" "SEN" "Mortality caused by road traffic injury (per 100,000 people)" 23.4 "X2016"
"207" "Singapore" "SGP" "Mortality caused by road traffic injury (per 100,000 people)" 2.8 "X2016"
"208" "Solomon Islands" "SLB" "Mortality caused by road traffic injury (per 100,000 people)" 17.4 "X2016"
"209" "Sierra Leone" "SLE" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"210" "El Salvador" "SLV" "Mortality caused by road traffic injury (per 100,000 people)" 22.2 "X2016"
"211" "San Marino" "SMR" "Mortality caused by road traffic injury (per 100,000 people)" 0 "X2016"
"212" "Somalia" "SOM" "Mortality caused by road traffic injury (per 100,000 people)" 27.1 "X2016"
"213" "Serbia" "SRB" "Mortality caused by road traffic injury (per 100,000 people)" 7.4 "X2016"
"214" "Sub-Saharan Africa (excluding high income)" "SSA" "Mortality caused by road traffic injury (per 100,000 people)" 26.8764048201241 "X2016"
"215" "South Sudan" "SSD" "Mortality caused by road traffic injury (per 100,000 people)" 29.9 "X2016"
"216" "Sub-Saharan Africa" "SSF" "Mortality caused by road traffic injury (per 100,000 people)" 26.8753643941121 "X2016"
"217" "Small states" "SST" "Mortality caused by road traffic injury (per 100,000 people)" 18.9755479345642 "X2016"
"218" "Sao Tome and Principe" "STP" "Mortality caused by road traffic injury (per 100,000 people)" 27.5 "X2016"
"219" "Suriname" "SUR" "Mortality caused by road traffic injury (per 100,000 people)" 14.5 "X2016"
"220" "Slovak Republic" "SVK" "Mortality caused by road traffic injury (per 100,000 people)" 6.1 "X2016"
"221" "Slovenia" "SVN" "Mortality caused by road traffic injury (per 100,000 people)" 6.4 "X2016"
"222" "Sweden" "SWE" "Mortality caused by road traffic injury (per 100,000 people)" 2.8 "X2016"
"223" "Eswatini" "SWZ" "Mortality caused by road traffic injury (per 100,000 people)" 26.9 "X2016"
"224" "Sint Maarten (Dutch part)" "SXM" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"225" "Seychelles" "SYC" "Mortality caused by road traffic injury (per 100,000 people)" 15.9 "X2016"
"226" "Syrian Arab Republic" "SYR" "Mortality caused by road traffic injury (per 100,000 people)" 26.5 "X2016"
"227" "Turks and Caicos Islands" "TCA" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"228" "Chad" "TCD" "Mortality caused by road traffic injury (per 100,000 people)" 27.6 "X2016"
"229" "East Asia & Pacific (IDA & IBRD countries)" "TEA" "Mortality caused by road traffic injury (per 100,000 people)" 18.0851558360796 "X2016"
"230" "Europe & Central Asia (IDA & IBRD countries)" "TEC" "Mortality caused by road traffic injury (per 100,000 people)" 14.0225773129615 "X2016"
"231" "Togo" "TGO" "Mortality caused by road traffic injury (per 100,000 people)" 29.2 "X2016"
"232" "Thailand" "THA" "Mortality caused by road traffic injury (per 100,000 people)" 32.7 "X2016"
"233" "Tajikistan" "TJK" "Mortality caused by road traffic injury (per 100,000 people)" 18.1 "X2016"
"234" "Turkmenistan" "TKM" "Mortality caused by road traffic injury (per 100,000 people)" 14.5 "X2016"
"235" "Latin America & the Caribbean (IDA & IBRD countries)" "TLA" "Mortality caused by road traffic injury (per 100,000 people)" 17.9958238122828 "X2016"
"236" "Timor-Leste" "TLS" "Mortality caused by road traffic injury (per 100,000 people)" 12.7 "X2016"
"237" "Middle East & North Africa (IDA & IBRD countries)" "TMN" "Mortality caused by road traffic injury (per 100,000 people)" 17.6200456463381 "X2016"
