"Country" "CCode" "INome" "Indicador" "Ano"
"131" "Libya" "LBY" "Air transport, registered carrier departures worldwide" 7412.42875400346 "X2018"
"132" "St. Lucia" "LCA" "Air transport, registered carrier departures worldwide" NA "X2018"
"133" "Latin America & Caribbean" "LCN" "Air transport, registered carrier departures worldwide" 2818642.41483845 "X2018"
"134" "Least developed countries: UN classification" "LDC" "Air transport, registered carrier departures worldwide" 594788.75484636 "X2018"
"135" "Low income" "LIC" "Air transport, registered carrier departures worldwide" 348210.395774867 "X2018"
"136" "Liechtenstein" "LIE" "Air transport, registered carrier departures worldwide" NA "X2018"
"137" "Sri Lanka" "LKA" "Air transport, registered carrier departures worldwide" 34425 "X2018"
"138" "Lower middle income" "LMC" "Air transport, registered carrier departures worldwide" 3791630.30432862 "X2018"
"139" "Low & middle income" "LMY" "Air transport, registered carrier departures worldwide" 14786705.1843549 "X2018"
"140" "Lesotho" "LSO" "Air transport, registered carrier departures worldwide" NA "X2018"
"141" "Late-demographic dividend" "LTE" "Air transport, registered carrier departures worldwide" 10719225.8992643 "X2018"
"142" "Lithuania" "LTU" "Air transport, registered carrier departures worldwide" 2375 "X2018"
"143" "Luxembourg" "LUX" "Air transport, registered carrier departures worldwide" 51824 "X2018"
"144" "Latvia" "LVA" "Air transport, registered carrier departures worldwide" 54356 "X2018"
"145" "Macao SAR, China" "MAC" "Air transport, registered carrier departures worldwide" 24411 "X2018"
"146" "St. Martin (French part)" "MAF" "Air transport, registered carrier departures worldwide" NA "X2018"
"147" "Morocco" "MAR" "Air transport, registered carrier departures worldwide" 80154 "X2018"
"148" "Monaco" "MCO" "Air transport, registered carrier departures worldwide" 3 "X2018"
"149" "Moldova" "MDA" "Air transport, registered carrier departures worldwide" 13590 "X2018"
"150" "Madagascar" "MDG" "Air transport, registered carrier departures worldwide" 10170 "X2018"
"151" "Maldives" "MDV" "Air transport, registered carrier departures worldwide" 26789 "X2018"
"152" "Middle East & North Africa" "MEA" "Air transport, registered carrier departures worldwide" 1788051.54501101 "X2018"
"153" "Mexico" "MEX" "Air transport, registered carrier departures worldwide" 590727 "X2018"
"154" "Marshall Islands" "MHL" "Air transport, registered carrier departures worldwide" 2244 "X2018"
"155" "Middle income" "MIC" "Air transport, registered carrier departures worldwide" 14438494.78858 "X2018"
"156" "North Macedonia" "MKD" "Air transport, registered carrier departures worldwide" NA "X2018"
"157" "Mali" "MLI" "Air transport, registered carrier departures worldwide" NA "X2018"
"158" "Malta" "MLT" "Air transport, registered carrier departures worldwide" 20903 "X2018"
"159" "Myanmar" "MMR" "Air transport, registered carrier departures worldwide" 64397.9644896858 "X2018"
"160" "Middle East & North Africa (excluding high income)" "MNA" "Air transport, registered carrier departures worldwide" 625199.79806317 "X2018"
"161" "Montenegro" "MNE" "Air transport, registered carrier departures worldwide" 6887 "X2018"
"162" "Mongolia" "MNG" "Air transport, registered carrier departures worldwide" 7777 "X2018"
"163" "Northern Mariana Islands" "MNP" "Air transport, registered carrier departures worldwide" NA "X2018"
"164" "Mozambique" "MOZ" "Air transport, registered carrier departures worldwide" 10479 "X2018"
"165" "Mauritania" "MRT" "Air transport, registered carrier departures worldwide" 5636.83947213211 "X2018"
"166" "Mauritius" "MUS" "Air transport, registered carrier departures worldwide" 14940 "X2018"
"167" "Malawi" "MWI" "Air transport, registered carrier departures worldwide" 2327 "X2018"
"168" "Malaysia" "MYS" "Air transport, registered carrier departures worldwide" 476733 "X2018"
"169" "North America" "NAC" "Air transport, registered carrier departures worldwide" 11354692.5861809 "X2018"
"170" "Namibia" "NAM" "Air transport, registered carrier departures worldwide" 14543 "X2018"
"171" "New Caledonia" "NCL" "Air transport, registered carrier departures worldwide" NA "X2018"
"172" "Niger" "NER" "Air transport, registered carrier departures worldwide" NA "X2018"
"173" "Nigeria" "NGA" "Air transport, registered carrier departures worldwide" 77482.726523888 "X2018"
"174" "Nicaragua" "NIC" "Air transport, registered carrier departures worldwide" NA "X2018"
"175" "Netherlands" "NLD" "Air transport, registered carrier departures worldwide" 325942.296 "X2018"
"176" "Norway" "NOR" "Air transport, registered carrier departures worldwide" NA "X2018"
"177" "Nepal" "NPL" "Air transport, registered carrier departures worldwide" 71908 "X2018"
"178" "Nauru" "NRU" "Air transport, registered carrier departures worldwide" 842 "X2018"
"179" "New Zealand" "NZL" "Air transport, registered carrier departures worldwide" 187851 "X2018"
"180" "OECD members" "OED" "Air transport, registered carrier departures worldwide" 21692568.3732622 "X2018"
"181" "Oman" "OMN" "Air transport, registered carrier departures worldwide" 76672 "X2018"
"182" "Other small states" "OSS" "Air transport, registered carrier departures worldwide" NA "X2018"
"183" "Pakistan" "PAK" "Air transport, registered carrier departures worldwide" 48542 "X2018"
"184" "Panama" "PAN" "Air transport, registered carrier departures worldwide" 119148 "X2018"
"185" "Peru" "PER" "Air transport, registered carrier departures worldwide" 141025.363 "X2018"
"186" "Philippines" "PHL" "Air transport, registered carrier departures worldwide" 292450 "X2018"
"187" "Palau" "PLW" "Air transport, registered carrier departures worldwide" NA "X2018"
"188" "Papua New Guinea" "PNG" "Air transport, registered carrier departures worldwide" 41545.1707849472 "X2018"
"189" "Poland" "POL" "Air transport, registered carrier departures worldwide" 123903 "X2018"
"190" "Pre-demographic dividend" "PRE" "Air transport, registered carrier departures worldwide" 449389.607537073 "X2018"
"191" "Puerto Rico" "PRI" "Air transport, registered carrier departures worldwide" NA "X2018"
"192" "Korea, Dem. People’s Rep." "PRK" "Air transport, registered carrier departures worldwide" 460 "X2018"
"193" "Portugal" "PRT" "Air transport, registered carrier departures worldwide" 182753 "X2018"
"194" "Paraguay" "PRY" "Air transport, registered carrier departures worldwide" 4215 "X2018"
"195" "West Bank and Gaza" "PSE" "Air transport, registered carrier departures worldwide" NA "X2018"
"196" "Pacific island small states" "PSS" "Air transport, registered carrier departures worldwide" 65161 "X2018"
"197" "Post-demographic dividend" "PST" "Air transport, registered carrier departures worldwide" 19638890.1579445 "X2018"
"198" "French Polynesia" "PYF" "Air transport, registered carrier departures worldwide" NA "X2018"
"199" "Qatar" "QAT" "Air transport, registered carrier departures worldwide" 197811 "X2018"
"200" "Romania" "ROU" "Air transport, registered carrier departures worldwide" 55637 "X2018"
"201" "Russian Federation" "RUS" "Air transport, registered carrier departures worldwide" 885094 "X2018"
"202" "Rwanda" "RWA" "Air transport, registered carrier departures worldwide" 18439 "X2018"
"203" "South Asia" "SAS" "Air transport, registered carrier departures worldwide" 1512779.2747231 "X2018"
"204" "Saudi Arabia" "SAU" "Air transport, registered carrier departures worldwide" 254063.746947842 "X2018"
"205" "Sudan" "SDN" "Air transport, registered carrier departures worldwide" 3170 "X2018"
"206" "Senegal" "SEN" "Air transport, registered carrier departures worldwide" 1087 "X2018"
"207" "Singapore" "SGP" "Air transport, registered carrier departures worldwide" 208787 "X2018"
"208" "Solomon Islands" "SLB" "Air transport, registered carrier departures worldwide" 14365 "X2018"
"209" "Sierra Leone" "SLE" "Air transport, registered carrier departures worldwide" NA "X2018"
"210" "El Salvador" "SLV" "Air transport, registered carrier departures worldwide" 27601 "X2018"
"211" "San Marino" "SMR" "Air transport, registered carrier departures worldwide" NA "X2018"
"212" "Somalia" "SOM" "Air transport, registered carrier departures worldwide" 98 "X2018"
"213" "Serbia" "SRB" "Air transport, registered carrier departures worldwide" 28160 "X2018"
