"Country" "CCode" "INome" "Indicador" "Ano"
"137" "Sri Lanka" "LKA" "Literacy rate, adult total (% of people ages 15 and above)" 91.70982 "X2018"
"138" "Lower middle income" "LMC" "Literacy rate, adult total (% of people ages 15 and above)" 77.24338 "X2018"
"139" "Low & middle income" "LMY" "Literacy rate, adult total (% of people ages 15 and above)" 84.02266 "X2018"
"140" "Lesotho" "LSO" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"141" "Late-demographic dividend" "LTE" "Literacy rate, adult total (% of people ages 15 and above)" 96.1515 "X2018"
"142" "Lithuania" "LTU" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"143" "Luxembourg" "LUX" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"144" "Latvia" "LVA" "Literacy rate, adult total (% of people ages 15 and above)" 99.88931 "X2018"
"145" "Macao SAR, China" "MAC" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"146" "St. Martin (French part)" "MAF" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"147" "Morocco" "MAR" "Literacy rate, adult total (% of people ages 15 and above)" 73.75001 "X2018"
"148" "Monaco" "MCO" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"149" "Moldova" "MDA" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"150" "Madagascar" "MDG" "Literacy rate, adult total (% of people ages 15 and above)" 74.80432 "X2018"
"151" "Maldives" "MDV" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"152" "Middle East & North Africa" "MEA" "Literacy rate, adult total (% of people ages 15 and above)" 78.96279 "X2018"
"153" "Mexico" "MEX" "Literacy rate, adult total (% of people ages 15 and above)" 95.37991 "X2018"
"154" "Marshall Islands" "MHL" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"155" "Middle income" "MIC" "Literacy rate, adult total (% of people ages 15 and above)" 86.14847 "X2018"
"156" "North Macedonia" "MKD" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"157" "Mali" "MLI" "Literacy rate, adult total (% of people ages 15 and above)" 35.47377 "X2018"
"158" "Malta" "MLT" "Literacy rate, adult total (% of people ages 15 and above)" 94.50319 "X2018"
"159" "Myanmar" "MMR" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"160" "Middle East & North Africa (excluding high income)" "MNA" "Literacy rate, adult total (% of people ages 15 and above)" 75.9596 "X2018"
"161" "Montenegro" "MNE" "Literacy rate, adult total (% of people ages 15 and above)" 98.84718 "X2018"
"162" "Mongolia" "MNG" "Literacy rate, adult total (% of people ages 15 and above)" 98.42312 "X2018"
"163" "Northern Mariana Islands" "MNP" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"164" "Mozambique" "MOZ" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"165" "Mauritania" "MRT" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"166" "Mauritius" "MUS" "Literacy rate, adult total (% of people ages 15 and above)" 91.32539 "X2018"
"167" "Malawi" "MWI" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"168" "Malaysia" "MYS" "Literacy rate, adult total (% of people ages 15 and above)" 94.85441 "X2018"
"169" "North America" "NAC" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
