"Country" "CCode" "INome" "Indicador" "Ano"
"140" "Lesotho" "LSO" "Life expectancy at birth, male (years)" 49.837 "X2017"
"141" "Late-demographic dividend" "LTE" "Life expectancy at birth, male (years)" 73.348511356478 "X2017"
"142" "Lithuania" "LTU" "Life expectancy at birth, male (years)" 69.5 "X2017"
"143" "Luxembourg" "LUX" "Life expectancy at birth, male (years)" 80.1 "X2017"
"144" "Latvia" "LVA" "Life expectancy at birth, male (years)" 69.9 "X2017"
"145" "Macao SAR, China" "MAC" "Life expectancy at birth, male (years)" 81.013 "X2017"
"146" "St. Martin (French part)" "MAF" "Life expectancy at birth, male (years)" 76.6 "X2017"
"147" "Morocco" "MAR" "Life expectancy at birth, male (years)" 74.948 "X2017"
"148" "Monaco" "MCO" "Life expectancy at birth, male (years)" NA "X2017"
"149" "Moldova" "MDA" "Life expectancy at birth, male (years)" 67.439 "X2017"
"150" "Madagascar" "MDG" "Life expectancy at birth, male (years)" 64.728 "X2017"
"151" "Maldives" "MDV" "Life expectancy at birth, male (years)" 76.931 "X2017"
"152" "Middle East & North Africa" "MEA" "Life expectancy at birth, male (years)" 72.2456917208583 "X2017"
"153" "Mexico" "MEX" "Life expectancy at birth, male (years)" 72.046 "X2017"
"154" "Marshall Islands" "MHL" "Life expectancy at birth, male (years)" NA "X2017"
"155" "Middle income" "MIC" "Life expectancy at birth, male (years)" 69.5866391985503 "X2017"
"156" "North Macedonia" "MKD" "Life expectancy at birth, male (years)" 73.584 "X2017"
"157" "Mali" "MLI" "Life expectancy at birth, male (years)" 57.718 "X2017"
"158" "Malta" "MLT" "Life expectancy at birth, male (years)" 80.6 "X2017"
"159" "Myanmar" "MMR" "Life expectancy at birth, male (years)" 63.419 "X2017"
"160" "Middle East & North Africa (excluding high income)" "MNA" "Life expectancy at birth, male (years)" 71.560181502266 "X2017"
"161" "Montenegro" "MNE" "Life expectancy at birth, male (years)" 74.205 "X2017"
"162" "Mongolia" "MNG" "Life expectancy at birth, male (years)" 65.465 "X2017"
"163" "Northern Mariana Islands" "MNP" "Life expectancy at birth, male (years)" NA "X2017"
"164" "Mozambique" "MOZ" "Life expectancy at birth, male (years)" 56.293 "X2017"
"165" "Mauritania" "MRT" "Life expectancy at birth, male (years)" 62.831 "X2017"
"166" "Mauritius" "MUS" "Life expectancy at birth, male (years)" 71.3 "X2017"
"167" "Malawi" "MWI" "Life expectancy at birth, male (years)" 60.155 "X2017"
"168" "Malaysia" "MYS" "Life expectancy at birth, male (years)" 73.903 "X2017"
"169" "North America" "NAC" "Life expectancy at birth, male (years)" 76.524030553485 "X2017"
"170" "Namibia" "NAM" "Life expectancy at birth, male (years)" 60.02 "X2017"
"171" "New Caledonia" "NCL" "Life expectancy at birth, male (years)" 75.1 "X2017"
"172" "Niger" "NER" "Life expectancy at birth, male (years)" 60.485 "X2017"
"173" "Nigeria" "NGA" "Life expectancy at birth, male (years)" 53.086 "X2017"
"174" "Nicaragua" "NIC" "Life expectancy at birth, male (years)" 70.551 "X2017"
"175" "Netherlands" "NLD" "Life expectancy at birth, male (years)" 80 "X2017"
"176" "Norway" "NOR" "Life expectancy at birth, male (years)" 80.9 "X2017"
"177" "Nepal" "NPL" "Life expectancy at birth, male (years)" 68.71 "X2017"
"178" "Nauru" "NRU" "Life expectancy at birth, male (years)" NA "X2017"
"179" "New Zealand" "NZL" "Life expectancy at birth, male (years)" 80 "X2017"
"180" "OECD members" "OED" "Life expectancy at birth, male (years)" 77.5264344657716 "X2017"
"181" "Oman" "OMN" "Life expectancy at birth, male (years)" 75.645 "X2017"
"182" "Other small states" "OSS" "Life expectancy at birth, male (years)" 66.7300746060308 "X2017"
"183" "Pakistan" "PAK" "Life expectancy at birth, male (years)" 66.041 "X2017"
"184" "Panama" "PAN" "Life expectancy at birth, male (years)" 75.06 "X2017"
"185" "Peru" "PER" "Life expectancy at birth, male (years)" 73.612 "X2017"
"186" "Philippines" "PHL" "Life expectancy at birth, male (years)" 66.971 "X2017"
"187" "Palau" "PLW" "Life expectancy at birth, male (years)" NA "X2017"
"188" "Papua New Guinea" "PNG" "Life expectancy at birth, male (years)" 62.784 "X2017"
"189" "Poland" "POL" "Life expectancy at birth, male (years)" 73.9 "X2017"
"190" "Pre-demographic dividend" "PRE" "Life expectancy at birth, male (years)" 58.8197065298203 "X2017"
"191" "Puerto Rico" "PRI" "Life expectancy at birth, male (years)" 76.176 "X2017"
"192" "Korea, Dem. People’s Rep." "PRK" "Life expectancy at birth, male (years)" 68.253 "X2017"
"193" "Portugal" "PRT" "Life expectancy at birth, male (years)" 78.1 "X2017"
"194" "Paraguay" "PRY" "Life expectancy at birth, male (years)" 72.041 "X2017"
"195" "West Bank and Gaza" "PSE" "Life expectancy at birth, male (years)" 72.106 "X2017"
"196" "Pacific island small states" "PSS" "Life expectancy at birth, male (years)" 67.9923742582695 "X2017"
"197" "Post-demographic dividend" "PST" "Life expectancy at birth, male (years)" 78.0276385966983 "X2017"
"198" "French Polynesia" "PYF" "Life expectancy at birth, male (years)" 75.171 "X2017"
"199" "Qatar" "QAT" "Life expectancy at birth, male (years)" 78.83 "X2017"
"200" "Romania" "ROU" "Life expectancy at birth, male (years)" 71.7 "X2017"
"201" "Russian Federation" "RUS" "Life expectancy at birth, male (years)" 67.08 "X2017"
"202" "Rwanda" "RWA" "Life expectancy at birth, male (years)" 66.187 "X2017"
"203" "South Asia" "SAS" "Life expectancy at birth, male (years)" 67.9493897249746 "X2017"
"204" "Saudi Arabia" "SAU" "Life expectancy at birth, male (years)" 73.671 "X2017"
"205" "Sudan" "SDN" "Life expectancy at birth, male (years)" 63.09 "X2017"
"206" "Senegal" "SEN" "Life expectancy at birth, male (years)" 65.242 "X2017"
"207" "Singapore" "SGP" "Life expectancy at birth, male (years)" 80.7 "X2017"
