"Country" "CCode" "INome" "Indicador" "Ano"
"138" "Lower middle income" "LMC" "Total reserves (includes gold, current US$)" NA "X2018"
"139" "Low & middle income" "LMY" "Total reserves (includes gold, current US$)" NA "X2018"
"140" "Lesotho" "LSO" "Total reserves (includes gold, current US$)" 728527649.979486 "X2018"
"141" "Late-demographic dividend" "LTE" "Total reserves (includes gold, current US$)" NA "X2018"
"142" "Lithuania" "LTU" "Total reserves (includes gold, current US$)" 5770956096.50459 "X2018"
"143" "Luxembourg" "LUX" "Total reserves (includes gold, current US$)" 938890223.596831 "X2018"
"144" "Latvia" "LVA" "Total reserves (includes gold, current US$)" 4370730735.82853 "X2018"
"145" "Macao SAR, China" "MAC" "Total reserves (includes gold, current US$)" 20281241000 "X2018"
"146" "St. Martin (French part)" "MAF" "Total reserves (includes gold, current US$)" NA "X2018"
"147" "Morocco" "MAR" "Total reserves (includes gold, current US$)" 24461023093.2087 "X2018"
"148" "Monaco" "MCO" "Total reserves (includes gold, current US$)" NA "X2018"
"149" "Moldova" "MDA" "Total reserves (includes gold, current US$)" 2995238116.31008 "X2018"
"150" "Madagascar" "MDG" "Total reserves (includes gold, current US$)" 1739588290.28962 "X2018"
"151" "Maldives" "MDV" "Total reserves (includes gold, current US$)" 722068698.776903 "X2018"
"152" "Middle East & North Africa" "MEA" "Total reserves (includes gold, current US$)" NA "X2018"
"153" "Mexico" "MEX" "Total reserves (includes gold, current US$)" 176390278595.584 "X2018"
"154" "Marshall Islands" "MHL" "Total reserves (includes gold, current US$)" NA "X2018"
"155" "Middle income" "MIC" "Total reserves (includes gold, current US$)" NA "X2018"
"156" "North Macedonia" "MKD" "Total reserves (includes gold, current US$)" 3284003546.93106 "X2018"
"157" "Mali" "MLI" "Total reserves (includes gold, current US$)" NA "X2018"
"158" "Malta" "MLT" "Total reserves (includes gold, current US$)" 1024613729.12178 "X2018"
"159" "Myanmar" "MMR" "Total reserves (includes gold, current US$)" 5646407387.45813 "X2018"
"160" "Middle East & North Africa (excluding high income)" "MNA" "Total reserves (includes gold, current US$)" NA "X2018"
"161" "Montenegro" "MNE" "Total reserves (includes gold, current US$)" 1202727764.78899 "X2018"
"162" "Mongolia" "MNG" "Total reserves (includes gold, current US$)" 3549666961.87949 "X2018"
"163" "Northern Mariana Islands" "MNP" "Total reserves (includes gold, current US$)" NA "X2018"
"164" "Mozambique" "MOZ" "Total reserves (includes gold, current US$)" 3257710292.09573 "X2018"
"165" "Mauritania" "MRT" "Total reserves (includes gold, current US$)" 934291833.830821 "X2018"
"166" "Mauritius" "MUS" "Total reserves (includes gold, current US$)" 6353096296.20215 "X2018"
"167" "Malawi" "MWI" "Total reserves (includes gold, current US$)" 759614761.931253 "X2018"
"168" "Malaysia" "MYS" "Total reserves (includes gold, current US$)" 101452531755.37 "X2018"
"169" "North America" "NAC" "Total reserves (includes gold, current US$)" NA "X2018"
"170" "Namibia" "NAM" "Total reserves (includes gold, current US$)" 2149916908.24883 "X2018"
"171" "New Caledonia" "NCL" "Total reserves (includes gold, current US$)" NA "X2018"
"172" "Niger" "NER" "Total reserves (includes gold, current US$)" NA "X2018"
"173" "Nigeria" "NGA" "Total reserves (includes gold, current US$)" 42838869124.791 "X2018"
"174" "Nicaragua" "NIC" "Total reserves (includes gold, current US$)" 2261143360.12993 "X2018"
"175" "Netherlands" "NLD" "Total reserves (includes gold, current US$)" 38431677254.824 "X2018"
"176" "Norway" "NOR" "Total reserves (includes gold, current US$)" 63145471060.2407 "X2018"
"177" "Nepal" "NPL" "Total reserves (includes gold, current US$)" 8335473017.41812 "X2018"
"178" "Nauru" "NRU" "Total reserves (includes gold, current US$)" NA "X2018"
"179" "New Zealand" "NZL" "Total reserves (includes gold, current US$)" 17656593019.6171 "X2018"
"180" "OECD members" "OED" "Total reserves (includes gold, current US$)" NA "X2018"
"181" "Oman" "OMN" "Total reserves (includes gold, current US$)" 17388370607.2955 "X2018"
"182" "Other small states" "OSS" "Total reserves (includes gold, current US$)" NA "X2018"
"183" "Pakistan" "PAK" "Total reserves (includes gold, current US$)" 11837177725.8521 "X2018"
"184" "Panama" "PAN" "Total reserves (includes gold, current US$)" 2121303718.10741 "X2018"
"185" "Peru" "PER" "Total reserves (includes gold, current US$)" 60333192024.232 "X2018"
"186" "Philippines" "PHL" "Total reserves (includes gold, current US$)" 79195598849.54 "X2018"
"187" "Palau" "PLW" "Total reserves (includes gold, current US$)" NA "X2018"
"188" "Papua New Guinea" "PNG" "Total reserves (includes gold, current US$)" 2239395527.4358 "X2018"
"189" "Poland" "POL" "Total reserves (includes gold, current US$)" 116956636327.589 "X2018"
"190" "Pre-demographic dividend" "PRE" "Total reserves (includes gold, current US$)" NA "X2018"
