"Country" "CCode" "INome" "Indicador" "Ano"
"231" "Togo" "TGO" "Current account balance (BoP, current US$)" NA "X2018"
"232" "Thailand" "THA" "Current account balance (BoP, current US$)" 32385567305.5889 "X2018"
"233" "Tajikistan" "TJK" "Current account balance (BoP, current US$)" -378475052.026988 "X2018"
"234" "Turkmenistan" "TKM" "Current account balance (BoP, current US$)" NA "X2018"
"235" "Latin America & the Caribbean (IDA & IBRD countries)" "TLA" "Current account balance (BoP, current US$)" NA "X2018"
"236" "Timor-Leste" "TLS" "Current account balance (BoP, current US$)" -191147184.887931 "X2018"
"237" "Middle East & North Africa (IDA & IBRD countries)" "TMN" "Current account balance (BoP, current US$)" NA "X2018"
"238" "Tonga" "TON" "Current account balance (BoP, current US$)" -28631789.5894219 "X2018"
"239" "South Asia (IDA & IBRD)" "TSA" "Current account balance (BoP, current US$)" NA "X2018"
"240" "Sub-Saharan Africa (IDA & IBRD countries)" "TSS" "Current account balance (BoP, current US$)" NA "X2018"
"241" "Trinidad and Tobago" "TTO" "Current account balance (BoP, current US$)" 1190671717.29804 "X2018"
"242" "Tunisia" "TUN" "Current account balance (BoP, current US$)" -4428708158.07369 "X2018"
"243" "Turkey" "TUR" "Current account balance (BoP, current US$)" -2.7032e+10 "X2018"
"244" "Tuvalu" "TUV" "Current account balance (BoP, current US$)" NA "X2018"
"245" "Tanzania" "TZA" "Current account balance (BoP, current US$)" -1890298123.96952 "X2018"
"246" "Uganda" "UGA" "Current account balance (BoP, current US$)" -2564699081.29155 "X2018"
"247" "Ukraine" "UKR" "Current account balance (BoP, current US$)" -4.367e+09 "X2018"
"248" "Upper middle income" "UMC" "Current account balance (BoP, current US$)" NA "X2018"
"249" "Uruguay" "URY" "Current account balance (BoP, current US$)" 75715248.8946571 "X2018"
"250" "United States" "USA" "Current account balance (BoP, current US$)" -4.90991e+11 "X2018"
"251" "Uzbekistan" "UZB" "Current account balance (BoP, current US$)" -3593899661.57895 "X2018"
