"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Djibouti","DJI","Total tax and contribution rate (% of profit)","IC.TAX.TOTL.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.8","37.8","37.8","37.8","37.8","38.1","38.1","38.1","37.6","37.6","37.6","37.7","37.9","37.9","37.9",
"Dominica","DMA","Total tax and contribution rate (% of profit)","IC.TAX.TOTL.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","37","37","37","37","37","37.1","37.1","37","37","37","35.2","32.6","32.6","32.6",
"Denmark","DNK","Total tax and contribution rate (% of profit)","IC.TAX.TOTL.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.6","30.8","31.3","28.5","27.6","27.5","25.7","26.3","25.6","25.4","23.9","24.4","23.8","23.8","23.8",
"Dominican Republic","DOM","Total tax and contribution rate (% of profit)","IC.TAX.TOTL.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.5","35.8","39.5","35.2","38.4","40.1","41.2","43.4","43.5","43.5","43.5","42.4","48.8","48.8","48.8",
"Algeria","DZA","Total tax and contribution rate (% of profit)","IC.TAX.TOTL.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.9","76.9","74.2","74.2","72.5","72.5","72.5","72.4","72.3","73.2","73.2","66","66.1","66.1","66.1",
"East Asia & Pacific (excluding high income)","EAP","Total tax and contribution rate (% of profit)","IC.TAX.TOTL.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.8","36.7941176470588","36.8588235294118","35.1941176470588","32.9529411764706","32.3411764705882","32.7588235294118","32.8888888888889","34.255","33.99","33.825","34.13","33.85","33.705","33.76",
"Early-demographic dividend","EAR","Total tax and contribution rate (% of profit)","IC.TAX.TOTL.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.8320754716981","40.8245283018868","39.9","39.8222222222222","39.0796296296296","38.7259259259259","38.6092592592593","38.8517857142857","38.9475409836066","38.3327868852459","38.4032786885246","37.327868852459","37.6819672131148","37.6934426229508","38.1426229508197",
"East Asia & Pacific","EAS","Total tax and contribution rate (% of profit)","IC.TAX.TOTL.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.8416666666667","37.544","37.652","36.716","34.588","33.528","33.768","33.6115384615385","35.0551724137931","34.8724137931034","34.5068965517241","34.7034482758621","34.5","34.4068965517241","34.5310344827586",
"Europe & Central Asia (excluding high income)","ECA","Total tax and contribution rate (% of profit)","IC.TAX.TOTL.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.0058823529412","54.3722222222222","50.4777777777778","50.3388888888889","44.5578947368421","40.1263157894737","39.0842105263158","38.4526315789474","37.845","34.77","35.23","34.2","33.585","33.255","32.54",
"Europe & Central Asia","ECS","Total tax and contribution rate (% of profit)","IC.TAX.TOTL.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.4953488372093","48.2755555555556","46.5933333333333","45.5739130434783","42.9702127659574","41.1255319148936","40.336170212766","40.2916666666667","39.9163265306123","38.7183673469388","38.5877551020408","37.9142857142857","37.230612244898","36.686","36.486",
"Ecuador","ECU","Total tax and contribution rate (% of profit)","IC.TAX.TOTL.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.2","35.2","35.2","34.8","34.8","35.2","34.4","34.4","33.5","32.8","32.8","32.5","32.5","32.3","34.4",
"Egypt, Arab Rep.","EGY","Total tax and contribution rate (% of profit)","IC.TAX.TOTL.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.4","46.4","45.1","44","43","42.5","43.6","42.6","40.1","44.7","44.9","43.5","45.8","46.9","44.4",
"Euro area","EMU","Total tax and contribution rate (% of profit)","IC.TAX.TOTL.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.1125","47.8588235294118","47.4117647058823","44.9555555555556","44.2777777777778","44.2722222222222","43.2526315789474","43.8526315789474","43.9","44.3684210526316","43.6315789473684","43.4684210526316","42.4842105263158","42.5789473684211","42.8421052631579",
"Eritrea","ERI","Total tax and contribution rate (% of profit)","IC.TAX.TOTL.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.5","84.5","84.5","84.5","84.5","84.5","84.5","84.5","83.7","83.7","83.7","83.7","83.7","83.7","83.7",
"Spain","ESP","Total tax and contribution rate (% of profit)","IC.TAX.TOTL.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.4","60.5","60.7","58.8","55.8","55.3","37.6","37.6","56.9","57.9","49.8","48.7","46.9","47","47",
"Estonia","EST","Total tax and contribution rate (% of profit)","IC.TAX.TOTL.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.4","49.2","48.5","48","48.2","48.7","57.7","66.6","49.6","49.2","49.2","48.5","48.5","48.5","47.8",
