"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Dominica","DMA","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Net migration","SM.POP.NETM","","","2256","","","","","21866","","","","","23256","","","","","14925","","","","","9319","","","","","32839","","","","","65466","","","","","74568","","","","","46306","","","","","87989","","","","","106841","","","","","75998","","",
"Dominican Republic","DOM","Net migration","SM.POP.NETM","","","-43490","","","","","-56172","","","","","-70824","","","","","-87098","","","","","-118102","","","","","-134470","","","","","-144154","","","","","-150146","","","","","-152553","","","","","-153773","","","","","-153000","","","","","-150000","","",
"Algeria","DZA","Net migration","SM.POP.NETM","","","-282941","","","","","-121335","","","","","-253436","","","","","-224833","","","","","-81020","","","","","-93302","","","","","-128679","","","","","-164413","","","","","-205228","","","","","-357340","","","","","-143268","","","","","-50002","","",
"East Asia & Pacific (excluding high income)","EAP","Net migration","SM.POP.NETM","","","-951548","","","","","-476764","","","","","-888388","","","","","-1119832","","","","","-303942","","","","","-272668","","","","","-2770604","","","","","-974322","","","","","-5608510","","","","","-6894219","","","","","-3768254","","","","","-3791004","","",
"Early-demographic dividend","EAR","Net migration","SM.POP.NETM","","","-857830","","","","","-1886452","","","","","-3317858","","","","","-4952237","","","","","1692818","","","","","-1530147","","","","","-7479045","","","","","-7535702","","","","","-14255662","","","","","-13971996","","","","","-14257384","","","","","-11460012","","",
"East Asia & Pacific","EAS","Net migration","SM.POP.NETM","","","-480262","","","","","1538131","","","","","18646","","","","","-722799","","","","","556267","","","","","701831","","","","","-1848218","","","","","1532","","","","","-4235381","","","","","-4415849","","","","","-1337907","","","","","-2057249","","",
"Europe & Central Asia (excluding high income)","ECA","Net migration","SM.POP.NETM","","","-85598","","","","","367326","","","","","-502693","","","","","-332894","","","","","23419","","","","","-1493566","","","","","-3183216","","","","","-2695413","","","","","-395018","","","","","589572","","","","","2754570","","","","","1510981","","",
"Europe & Central Asia","ECS","Net migration","SM.POP.NETM","","","1223688","","","","","437456","","","","","1533438","","","","","1241642","","","","","571631","","","","","804777","","","","","1451064","","","","","274507","","","","","8256870","","","","","7925495","","","","","8361520","","","","","7894029","","",
"Ecuador","ECU","Net migration","SM.POP.NETM","","","-9002","","","","","-5500","","","","","-5499","","","","","-7198","","","","","-14001","","","","","-16998","","","","","-19000","","","","","-69999","","","","","-120002","","","","","-44999","","","","","-38001","","","","","182000","","",
