Codigo;Municipios;Estimativas.Populacionais.2018
4306304;David Canabarro;4581
4306320;Derrubadas;2998
4306353;Dezesseis de Novembro;2669
4306379;Dilermando de Aguiar;2915
4306403;Dois Irmãos;32614
4306429;Dois Irmãos das Missões;2144
4306452;Dois Lajeados;3387
4306502;Dom Feliciano;14152
4306601;Dom Pedrito;37452
4306551;Dom Pedro de Alcântara;2733
4306700;Dona Francisca;3389
4306734;Doutor Maurício Cardoso;4964
4306759;Doutor Ricardo;2000
4306767;Eldorado do Sul;38988
4306809;Encantado;22673
4306908;Encruzilhada do Sul;24178
4306924;Engenho Velho;1521
4306932;Entre-ijuís;9256
4306957;Entre Rios do Sul;3054
4306973;Erebango;3133
4307005;Erechim;105523
4307054;Ernestina;3159
4307203;Erval Grande;5111
4307302;Erval Seco;7525
4307401;Esmeralda;3272
4307450;Esperança do Sul;3279
4307500;Espumoso;15666
4307559;Estação;6291
4307609;Estância Velha;49117
4307708;Esteio;84509
4307807;Estrela;34277
4307815;Estrela Velha;3544
4307831;Eugênio de Castro;2752
4307864;Fagundes Varela;2772
4307906;Farroupilha;70485
4308003;Faxinal do Soturno;6705
4308052;Faxinalzinho;2588
4308078;Fazenda Vilanova;4400
4308102;Feliz;13914
4308201;Flores da Cunha;30843
4308250;Floriano Peixoto;1845
4308300;Fontoura Xavier;10253
4308409;Formigueiro;7048
4308433;Forquetinha;2530
4308458;Fortaleza dos Valos;4591
4308508;Frederico Westphalen;32360
4308607;Garibaldi;35067
4308656;Garruchos;2940
4308706;Gaurama;5716
4308805;General Câmara;8424
4308854;Gentil;1927
4308904;Getúlio Vargas;17340
4309001;Giruá;16206
4309050;Glorinha;7839
4309100;Gramado;37848
4309126;Gramado dos Loureiros;2467
4309159;Gramado Xavier;4019
4309209;Gravataí;277273
4309258;Guabiju;1600
4309308;Guaíba;100677
4309407;Guaporé;26121
4309506;Guarani das Missões;8044
4309555;Harmonia;4922
4307104;Herval;6647
4309571;Herveiras;2903
4309605;Horizontina;19681
4309654;Hulha Negra;6112
4309704;Humaitá;4968
4309753;Ibarama;4327
4309803;Ibiaçá;4809
4309902;Ibiraiaras;8298
4309951;Ibirapuitã;3968
4310009;Ibirubá;21257
4310108;Igrejinha;34909
4310207;Ijuí;88467
4310306;Ilópolis;4264
4310330;Imbé;23050
4310363;Imigrante;3317
4310405;Independência;6918
4310413;Inhacorá;2246
4310439;Ipê;6043
4310462;Ipiranga do Sul;1903
4310504;Iraí;7906
4310538;Itaara;5189
4310553;Itacurubi;3200
4310579;Itapuca;2190
4310603;Itaqui;37127
4310652;Itati;2781
4310702;Itatiba do Sul;3678
4310751;Ivorá;2070
4310801;Ivoti;23347
4310850;Jaboticaba;3973
4310876;Jacuizinho;2523
4310900;Jacutinga;3578
4311007;Jaguarão;27393
4311106;Jaguari;10234
4311122;Jaquirana;4065
4311130;Jari;3438
4311155;Jóia;8021
4311205;Júlio de Castilhos;18840
4311239;Lagoa Bonita do Sul;2734
4311270;Lagoa dos Três Cantos;1878
4311254;Lagoão;5780
4311304;Lagoa Vermelha;27678
4311403;Lajeado;88261
4311429;Lajeado do Bugre;2510
4311502;Lavras do Sul;7136
4311601;Liberato Salzano;5762
4311627;Lindolfo Collor;6070
4311643;Linha Nova;1910
4311718;Maçambará;4553
4311700;Machadinho;5939
4311734;Mampituba;3182
4311759;Manoel Viana;6639
4311775;Maquiné;6914
4311791;Maratá;2721
4311809;Marau;42183
4311908;Marcelino Ramos;4927
4311981;Mariana Pimentel;4080
4312005;Mariano Moro;2027
4312054;Marques de Souza;4172
4312104;Mata;4786
4312138;Mato Castelhano;2614
4312153;Mato Leitão;4557
4312179;Mato Queimado;1901
4312203;Maximiliano de Almeida;4616
4312252;Minas do Leão;7935
4312302;Miraguaí;5277
4312351;Montauri;1586
4312377;Monte Alegre dos Campos;3229
4312385;Monte Belo do Sul;2789
4312401;Montenegro;66596
4312427;Mormaço;2960
4312443;Morrinhos do Sul;3440
