cnes,municipio,codigo_ibge
9563873,Taquari,4321303
2224615,Mostardas,4312500
2241072,Antônio Prado,4300802
2244292,Santa Maria,4316907
2232146,Novo Hamburgo,4313409
2249499,Severiano De Almeida,4320602
2228653,Iraí,4310504
2235404,Sarandi,4320107
2233436,Herval,4307104
2259931,Guarani Das Missões,4309506
2261111,Condor,4305702
2707977,Veranópolis,4322806
2228580,Palmitinho,4313805
2255928,Santa Cruz Do Sul,4316808
2248220,Sant'ana Do Livramento,4317103
2792974,Rio Pardo,4315701
2257556,Montenegro,4312401
5922216,Santa Maria,4316907
2707632,Estância Velha,4307609
2236362,Candelária,4304200
3007847,Porto Alegre,4314902
2253690,Pelotas,4314407
2244322,São Sepé,4319604
2244101,Faxinal Do Soturno,4308003
9016554,Sobradinho,4320701
2228610,Seberi,4320206
2252295,Pelotas,4314407
2262002,Dom Pedrito,4306601
2263882,Salto Do Jacuí,4316451
2261154,Campo Novo,4304002
2235412,Ronda Alta,4316105
2248190,Uruguaiana,4322400
2249618,Marcelino Ramos,4311908
2247038,Maximiliano De Almeida,4312203
2244098,Júlio De Castilhos,4311205
2707608,São Martinho,4319109
2252066,Sério,4320453
2246953,Marau,4311809
2259869,Cerro Largo,4305207
2234386,Agudo,4300109
2228734,Rodeio Bonito,4315909
2237571,Porto Alegre,4314902
2261030,Ijuí,4310207
2244276,Santa Maria,4316907
2241102,Nova Petrópolis,4313201
2241129,Bom Princípio,4302352
2246805,Sertão,4320503
2233320,Pinheiro Machado,4314506
2262029,Lavras Do Sul,4311502
2249537,Viadutos,4322905
2707942,Muçum,4312609
3508528,Canoas,4304606
2249502,Aratiba,4300901
2252147,Roca Sales,4315800
2253054,Pelotas,4314407
6014194,Feliz,4308102
2265958,Butiá,4302709
2249510,Getúlio Vargas,4308904
3017060,Santa Rosa,4317202
2244136,São Vicente Do Sul,4319802
2254611,Santa Rosa,4317202
6844138,Dois Irmãos,4306403
6364810,São João Do Polêsine,4318432
6131913,Guaíba,4309308
3506959,Ijuí,4310207
2232073,Campo Bom,4303905
2261138,Pejuçara,4314308
2244233,Restinga Seca,4315503
2250705,Boa Vista Do Buricá,4302204
2228688,Nonoai,4312708
6295320,Porto Alegre,4314902
2248239,Rosário Do Sul,4316402
2244152,Jaguari,4311106
2244365,Santa Maria,4316907
2263890,Santa Bárbara Do Sul,4316709
2260050,Serafina Corrêa,4320404
2228556,Planalto,4314704
2252228,Encantado,4306809
2223562,Caxias Do Sul,4305108
2246740,Tapejara,4320909
2224607,Palmares Do Sul,4313656
3819590,Lagoa Vermelha,4311304
2257467,Três Coroas,4321709
2252341,Pelotas,4314407
2248271,Itaqui,4310603
2232014,Canoas,4304606
2223546,Caxias Do Sul,4305108
5729297,Tuparendi,4322301
2241048,Vacaria,4322509
2227908,São Sebastião Do Caí,4319505
2228629,Ametista Do Sul,4300646
5050170,Tucunduva,4322103
2255936,Santa Cruz Do Sul,4316808
2707675,Rio Grande,4315602
2253046,Pelotas,4314407
2241145,Flores Da Cunha,4308201
2246961,Soledade,4320800
2259850,Caibaté,4303301
2241226,São Marcos,4319000
2227762,Parobé,4314050
2244357,Santiago,4317400
2261081,Augusto Pestana,4301503
2257815,Osório,4313508
2240335,Farroupilha,4307906
